Quarterly Data,Quarter,BLS Labor Productivity Index (2009=100),Labor Force (thousands),Real GDP (billions 2012 constant dollars),Population (thousands),NBER Recession Dates (1 = recession; blank=expansion)
,1948:1,22.2,60230,2086.0,,
,1948:2,22.7,60535,2120.5,,
Annual data,1948:3,22.6,60934,2132.6,,
starts in column A,1948:4,22.7,60839,2135.0,,1
,1949:1,22.6,60967,2105.6,,1
Cross-country data ,1949:2,22.7,61071,2098.4,,1
starts in column N,1949:3,23.3,61508,2120.0,,1
,1949:4,23.4,62033,2102.3,,1
,1950:1,24.5,61651,2184.9,,
,1950:2,24.7,62220,2251.5,,
,1950:3,25.1,62355,2338.5,,
,1950:4,25.2,62261,2383.3,,
,1951:1,25.2,62082,2415.7,,
,1951:2,25.3,61822,2457.5,,
,1951:3,26.1,61938,2508.2,,
,1951:4,26.0,62225,2513.7,,
,1952:1,26.1,62191,2540.6,156522,
,1952:2,26.3,61960,2546.0,157142,
,1952:3,26.4,62099,2564.4,157801,
,1952:4,26.8,62361,2648.6,158505,
,1953:1,27.2,63539,2697.9,159164,
,1953:2,27.5,62948,2718.7,159752,1
,1953:3,27.5,62867,2703.4,160450,1
,1953:4,27.4,62870,2662.5,161218,1
,1954:1,27.4,63629,2649.8,161909,1
,1954:2,27.8,63651,2652.6,162568,1
,1954:3,28.2,63739,2682.6,163295,
,1954:4,28.7,63669,2735.1,164101,
,1955:1,29.1,63829,2813.2,164805,
,1955:2,29.3,64476,2859.0,165470,
,1955:3,29.3,65451,2897.6,166199,
,1955:4,29.1,66101,2915.0,167016,
,1956:1,29.0,66239,2903.7,167745,
,1956:2,29.2,66563,2927.7,168439,
,1956:3,29.2,66713,2925.0,169194,
,1956:4,29.8,66634,2973.2,170053,
,1957:1,30.0,66740,2992.2,170802,
,1957:2,30.0,66798,2985.7,171504,
,1957:3,30.3,67035,3014.9,172260,1
,1957:4,30.6,67196,2983.7,173061,1
,1958:1,30.4,67173,2906.3,173741,1
,1958:2,30.8,67739,2925.4,174404,1
,1958:3,31.4,67954,2993.1,175146,
,1958:4,31.8,67814,3063.1,175957,
,1959:1,32.0,67884,3121.9,176679,
,1959:2,32.2,68265,3192.4,177367,
,1959:3,32.3,68505,3194.7,178102,
,1959:4,32.4,68783,3203.8,178910,
,1960:1,33.3,68770,3275.8,179590,
,1960:2,32.6,69713,3258.1,180224,1
,1960:3,32.7,69912,3274.0,180951,1
,1960:4,32.5,70239,3232.0,181789,1
,1961:1,32.9,70523,3253.8,182516,1
,1961:2,34.0,70532,3309.1,183220,
,1961:3,34.4,70429,3372.6,183964,
,1961:4,34.7,70315,3438.7,184774,
,1962:1,35.1,70337,3500.1,185448,
,1962:2,35.2,70448,3531.7,186092,
,1962:3,35.8,70812,3575.1,186795,
,1962:4,36.1,70881,3586.8,187564,
,1963:1,36.3,71277,3626.0,188204,
,1963:2,36.6,71718,3666.7,188796,
,1963:3,37.4,71958,3747.3,189500,
,1963:4,37.4,72296,3771.8,190255,
,1964:1,37.9,72584,3851.4,190858,
,1964:2,38.0,73234,3893.3,191453,
,1964:3,38.4,73138,3954.1,192132,
,1964:4,38.2,73353,3966.3,192839,
,1965:1,38.9,73792,4062.3,193385,
,1965:2,38.9,74369,4113.6,193895,
,1965:3,39.8,74626,4205.1,194531,
,1965:4,40.5,74909,4302.0,195188,
,1966:1,41.2,75072,4406.7,195686,
,1966:2,41.0,75477,4421.7,196183,
,1966:3,41.0,75946,4459.2,196769,
,1966:4,41.4,76483,4495.8,197392,
,1967:1,41.8,76496,4535.6,197888,
,1967:2,42.2,76940,4538.4,198369,
,1967:3,42.2,77663,4581.3,198912,
,1967:4,42.3,78292,4615.9,199489,
,1968:1,43.2,78021,4710.0,199928,
,1968:2,43.7,78746,4788.7,200368,
,1968:3,43.7,78880,4825.8,200900,
,1968:4,43.7,79195,4844.8,201459,
,1969:1,43.8,79874,4920.6,201888,
,1969:2,43.8,80367,4935.6,202333,
,1969:3,43.9,81074,4968.2,202881,
,1969:4,43.8,81505,4943.9,203492,1
,1970:1,44.0,82210,4936.6,204004,1
,1970:2,44.5,82565,4943.6,204613,1
,1970:3,45.3,82912,4989.2,205296,1
,1970:4,45.0,83498,4935.7,206017,1
,1971:1,46.3,83676,5069.7,206663,
,1971:2,46.3,83929,5097.2,207262,
,1971:3,46.9,84581,5139.1,207885,
,1971:4,46.5,85318,5151.2,208547,
,1972:1,47.0,86208,5246.0,209063,
,1972:2,48.1,86810,5365.0,209552,
,1972:3,48.2,87351,5415.7,210083,
,1972:4,48.7,87675,5506.4,210652,
,1973:1,49.6,88232,5642.7,211120,
,1973:2,49.8,89181,5704.1,211581,
,1973:3,49.1,89650,5674.1,212097,
,1973:4,49.3,90579,5728.0,212631,1
,1974:1,48.6,91379,5678.7,213072,1
,1974:2,48.8,91584,5692.2,213520,1
,1974:3,48.3,92253,5638.4,214047,1
,1974:4,48.7,92688,5616.5,214619,1
,1975:1,49.4,93023,5548.2,215065,1
,1975:2,50.2,93619,5587.8,215548,
,1975:3,50.7,94128,5683.4,216187,
,1975:4,50.9,94309,5760.0,216763,
,1976:1,51.6,95049,5889.5,217242,
,1976:2,52.0,95826,5932.7,217691,
,1976:3,52.0,96626,5965.3,218236,
,1976:4,52.3,97102,6008.5,218828,
,1977:1,52.6,97703,6079.5,219342,
,1977:2,52.7,98696,6197.7,219863,
,1977:3,53.4,99244,6309.5,220462,
,1977:4,52.8,100294,6309.7,221105,
,1978:1,52.6,100934,6329.8,221633,
,1978:2,53.6,101947,6574.4,222182,
,1978:3,53.8,102568,6640.5,222814,
,1978:4,54.0,103484,6729.8,223473,
,1979:1,53.7,104383,6741.9,224051,
,1979:2,53.6,104327,6749.1,224638,
,1979:3,53.6,105209,6799.2,225299,
,1979:4,53.5,105923,6816.2,226024,
,1980:1,53.8,106567,6837.6,226652,1
,1980:2,53.2,106767,6696.8,227278,1
,1980:3,53.2,107121,6688.8,227955,1
,1980:4,53.8,107442,6813.5,228603,
,1981:1,54.9,108274,6947.0,229077,
,1981:2,54.4,108848,6895.6,229580,
,1981:3,55.1,108525,6978.1,230188,1
,1981:4,54.4,109057,6902.1,230817,1
,1982:1,54.0,109374,6794.9,231313,1
,1982:2,54.2,110117,6825.9,231815,1
,1982:3,54.2,110526,6799.8,232393,1
,1982:4,54.7,110959,6802.5,232990,1
,1983:1,55.3,110639,6892.1,233469,
,1983:2,56.3,111168,7049.0,233940,
,1983:3,56.5,112095,7189.9,234503,
,1983:4,57.0,112160,7339.9,235073,
,1984:1,57.3,112512,7483.4,235529,
,1984:2,57.8,113521,7612.7,235997,
,1984:3,58.1,113837,7686.1,236552,
,1984:4,58.2,114257,7749.2,237150,
,1985:1,58.4,114976,7824.2,237601,
,1985:2,58.7,115177,7893.1,238081,
,1985:3,59.6,115505,8013.7,238681,
,1985:4,59.9,116211,8073.2,239299,
,1986:1,60.4,116928,8148.6,239785,
,1986:2,60.8,117643,8185.3,240275,
,1986:3,61.2,118225,8263.6,240858,
,1986:4,61.0,118587,8308.0,241454,
,1987:1,60.7,119079,8369.9,241931,
,1987:2,61.1,119663,8460.2,242428,
,1987:3,61.2,120077,8533.6,243013,
,1987:4,61.7,120593,8680.2,243631,
,1988:1,61.9,121013,8725.0,244130,
,1988:2,62.0,121265,8839.6,244620,
,1988:3,62.2,121917,8891.4,245242,
,1988:4,62.3,122488,9009.9,245878,
,1989:1,62.4,123251,9101.5,246377,
,1989:2,62.7,123678,9171.0,246914,
,1989:3,63.0,124026,9238.9,247577,
,1989:4,63.0,124448,9257.1,248276,
,1990:1,63.7,125781,9358.3,248833,
,1990:2,64.2,125705,9392.3,249573,
,1990:3,64.5,125871,9398.5,250441,1
,1990:4,63.9,126069,9312.9,251343,1
,1991:1,64.0,126071,9269.4,252132,1
,1991:2,65.0,126352,9341.6,252921,
,1991:3,65.5,126318,9388.8,253809,
,1991:4,65.9,126669,9421.6,254706,
,1992:1,67.3,127357,9534.3,255455,
,1992:2,67.8,128140,9637.7,256289,
,1992:3,68.5,128559,9733.0,257225,
,1992:4,68.9,128340,9834.5,258140,
,1993:1,68.3,128485,9851.0,258917,
,1993:2,68.0,129086,9908.3,259686,
,1993:3,68.0,129428,9955.6,260563,
,1993:4,68.5,129742,10091.0,261421,
,1994:1,68.7,130555,10189.0,262131,
,1994:2,68.6,130654,10327.0,262887,
,1994:3,68.3,131116,10387.4,263726,
,1994:4,68.9,131862,10506.4,264555,
,1995:1,68.8,132087,10543.6,265270,
,1995:2,69.0,132130,10575.1,266008,
,1995:3,69.1,132430,10665.1,266851,
,1995:4,69.6,132614,10737.5,267705,
,1996:1,70.1,132916,10817.9,268370,
,1996:2,70.9,133591,10998.3,269116,
,1996:3,71.2,134284,11097.0,269976,
,1996:4,71.3,135014,11212.2,270861,
,1997:1,71.3,135582,11284.6,271589,
,1997:2,72.2,136115,11472.1,272349,
,1997:3,72.9,136590,11615.6,273234,
,1997:4,73.3,136916,11715.4,274117,
,1998:1,73.7,137148,11832.5,274837,
,1998:2,74.0,137326,11942.0,275568,
,1998:3,75.1,137815,12091.6,276416,
,1998:4,75.8,138431,12287.0,277269,
,1999:1,76.7,138900,12403.3,277993,
,1999:2,77.0,139132,12498.7,278723,
,1999:3,77.7,139497,12662.4,279600,
,1999:4,78.8,139991,12877.6,280463,
,2000:1,78.5,142386,12924.2,281192,
,2000:2,80.2,142577,13160.8,281885,
,2000:3,80.1,142437,13178.4,282657,
,2000:4,81.0,142944,13260.5,283450,
,2001:1,80.7,143808,13222.7,284136,1
,2001:2,82.0,143415,13300.0,284818,1
,2001:3,82.4,143642,13244.8,285574,1
,2001:4,83.5,144210,13280.9,286336,1
,2002:1,85.1,144339,13397.0,286991,
,2002:2,85.4,144824,13478.2,287628,
,2002:3,86.2,145121,13538.1,288361,
,2002:4,86.0,145140,13559.0,289096,
,2003:1,86.9,146020,13634.3,289714,
,2003:2,88.3,146677,13751.5,290352,
,2003:3,90.0,146487,13985.1,291071,
,2003:4,90.7,146815,14145.6,291796,
,2004:1,91.0,146832,14221.1,292374,
,2004:2,91.6,147125,14329.5,293000,
,2004:3,92.0,147557,14465.0,293718,
,2004:4,92.7,148005,14609.9,294463,
,2005:1,93.6,148261,14771.6,295102,
,2005:2,93.3,149142,14839.8,295710,
,2005:3,94.1,149722,14972.1,296444,
,2005:4,94.2,150032,15066.6,297203,
,2006:1,94.8,150556,15267.0,297854,
,2006:2,94.8,151101,15302.7,298505,
,2006:3,94.3,151585,15326.4,299271,
,2006:4,94.8,152393,15456.9,300090,
,2007:1,94.8,153059,15493.3,300799,
,2007:2,95.6,152715,15582.1,301492,
,2007:3,96.7,153072,15666.7,302272,
,2007:4,97.0,153645,15762.0,303049,1
,2008:1,96.2,153875,15671.4,303708,1
,2008:2,97.1,154128,15752.3,304332,1
,2008:3,97.4,154560,15667.0,305051,1
,2008:4,96.8,154723,15328.0,305781,1
,2009:1,97.5,154294,15155.9,306399,1
,2009:2,99.4,154657,15134.1,306992,1
,2009:3,101.0,154212,15189.2,307690,
,2009:4,102.2,153591,15356.1,308413,
,2010:1,102.6,153711,15415.1,309024,
,2010:2,103.0,154110,15557.3,309374,
,2010:3,103.6,153917,15672.0,309976,
,2010:4,103.9,153803,15750.6,310622,
,2011:1,103.0,153284,15712.8,311156,
,2011:2,103.3,153456,15825.1,311667,
,2011:3,103.1,153726,15820.7,312279,
,2011:4,103.8,154028,16004.1,312910,
,2012:1,103.8,154600,16129.4,313437,
,2012:2,104.4,154831,16198.8,313948,
,2012:3,104.1,154957,16220.7,314550,
,2012:4,103.7,155507,16239.1,315185,
,2013:1,104.3,155360,16383.0,315677,
,2013:2,104.3,155560,16403.2,316158,
,2013:3,104.7,155630,16531.7,316764,
,2013:4,105.7,155040,16663.6,317417,
,2014:1,104.9,155664,16621.7,317966,
,2014:2,105.5,155570,16830.1,318500,
,2014:3,106.4,156051,17033.6,319135,
,2014:4,105.8,156380,17113.9,319811,
,2015:1,106.5,156850,17254.7,320350,
,2015:2,106.9,157190,17397.0,320874,
,2015:3,107.3,156956,17438.8,321505,
,2015:4,106.6,157539,17456.2,322169,
,2016:1,106.3,158817,17523.4,322713,
,2016:2,106.5,158802,17622.5,323229,
,2016:3,107.2,159485,17706.7,323849,
,2016:4,107.7,159660,17784.2,324496,
,2017:1,107.5,159983,17863.0,325028,
,2017:2,107.9,160041,17995.2,325543,
,2017:3,108.8,160716,18120.8,326163,
,2017:4,108.7,160500,18223.8,326810,
,2018:1,108.9,161600,18324.0,327343,
